WKT,SA22019_V1_00,SA22019_V1_00_NAME,LAND_AREA_SQ_KM,AREA_SQ_KM,LATITUDE,LONGITUDE,EASTING,NORTHING,Shape_X,Shape_Y
"POINT (1593572.45675 6170194.8842)",100100,North Cape,826.76815577,826.76815577,-34.610071653191724,172.9298933979793,1593572.456762913,6170194.884189623,1593572.45675,6170194.8842
"POINT (1618239.69885 6131279.6561)",100200,Rangaunu Harbour,272.07500876,272.07500876,-34.96085567484335,173.19978824863236,1618239.6988364237,6131279.656091371,1618239.69885,6131279.6561
"POINT (1663916.73625 6112746.32665)",100300,Inlets Far North District,0,626.09638124,-35.12611177446861,173.70151673313663,1663916.7362669318,6112746.326632616,1663916.73625,6112746.32665
"POINT (1633415.8049 6134785.62115)",100400,Karikari Peninsula,174.1880925,174.1880925,-34.928854006908495,173.36587669411233,1633415.8049122074,6134785.621172115,1633415.8049,6134785.62115
"POINT (1616675.87775 6109747.0993)",100500,Tangonge,177.2085017,177.2085017,-35.155048367298505,173.18309196496637,1616675.8777631286,6109747.099314762,1616675.87775,6109747.0993
"POINT (1613848.9125 6108453.70295)",100600,Ahipara,4.52919466,4.52919466,-35.16675407013365,173.1520752544218,1613848.9125026844,6108453.702937975,1613848.9125,6108453.70295
"POINT (1624073.06055 6115410.0315)",100700,Kaitaia East,5.26639829,5.26639829,-35.10383489290849,173.2641433723586,1624073.0605321405,6115410.031499741,1624073.06055,6115410.0315
"POINT (1623547.1715 6113964.75045)",100800,Kaitaia West,3.21189033,3.21189033,-35.116879694587745,173.25841420782953,1623547.1715159817,6113964.750440687,1623547.1715,6113964.75045
"POINT (1627740.80525 6113217.073)",100900,Rangitihi,84.63288825,84.63288825,-35.12351475713041,173.3044610379794,1627740.8052442316,6113217.073020401,1627740.80525,6113217.073
"POINT (1642076.0348 6123161.50305)",101000,Oruru-Parapara,103.36075462,103.36075462,-35.03334821687116,173.4612843841833,1642076.034797437,6123161.5030716825,1642076.0348,6123161.50305
"POINT (1646333.04985 6127202.15395)",101100,Taumarumaru,10.23412752,10.23412752,-34.99672702418897,173.50772773489268,1646333.0498487048,6127202.153959723,1646333.04985,6127202.15395
"POINT (1625281.5736 6101034.1362)",101200,Herekino-Takahue,303.69037071,303.69037071,-35.23343393619686,173.27784432007917,1625281.573580812,6101034.1362217935,1625281.5736,6101034.1362
"POINT (1640435.0834 6114567.1683)",101300,Peria,199.58762842,199.58762842,-35.110910930399946,173.44371420659087,1640435.0834166093,6114567.168280292,1640435.0834,6114567.1683
"POINT (1652673.934 6124786.0907)",101400,Taemaro-Oruaiti,156.74222305,156.74222305,-35.018202118626704,173.57736264498774,1652673.9340096533,6124786.090687645,1652673.934,6124786.0907
"POINT (1659987.69765 6119942.40285)",101500,Whakapaku,200.88351093,200.88351093,-35.061468792453574,173.6578749068029,1659987.697654703,6119942.402852285,1659987.69765,6119942.40285
"POINT (1630741.35415 6086036.76175)",101600,Hokianga North,345.93483672,345.93483672,-35.368510193934384,173.3384089725496,1630741.354157505,6086036.761759041,1630741.35415,6086036.76175
"POINT (1642158.3941 6094688.92025)",101700,Kohukohu-Broadwood,209.19924243,209.19924243,-35.29007936986835,173.46364190730932,1642158.3940780514,6094688.920266175,1642158.3941,6094688.92025
"POINT (1677725.52185 6119873.65585)",101800,Whakarara,169.49618886,169.49618886,-35.06087771851987,173.8523921118436,1677725.521850661,6119873.655827855,1677725.52185,6119873.65585
"POINT (1667701.79505 6109614.45145)",101900,Kaeo,255.55967669,255.55967669,-35.154102683573655,173.74331320935624,1667701.7950475777,6109614.451470207,1667701.79505,6109614.45145
"POINT (1656175.8467 6094801.40265)",102000,Omahuta Forest-Horeke,463.52160353,463.52160353,-35.28837607075584,173.6177857992136,1656175.8466811772,6094801.402652354,1656175.8467,6094801.40265
"POINT (1643948.1753 6074946.2155)",102100,Hokianga South,126.08930327,126.08930327,-35.468013481863295,173.48438738969884,1643948.175300448,6074946.215482393,1643948.1753,6074946.2155
"POINT (1681068.27215 6106745.14745)",102200,Lake Manuwai-Kapiro,59.07330644,59.07330644,-35.17898348931439,173.89033423906295,1681068.2721388272,6106745.147459843,1681068.27215,6106745.14745
"POINT (1671911.4646 6094885.3557)",102300,Okaihau,147.59030098,160.01973675,-35.28661159177244,173.7908155521165,1671911.4646038455,6094885.355709531,1671911.4646,6094885.3557
"POINT (1690544.97455 6110260.75305)",102400,Rangitane-Purerua,123.18610996,123.18610996,-35.14647765848797,173.99401338940498,1690544.974527138,6110260.753060417,1690544.97455,6110260.75305
"POINT (1683366.7947 6103889.4575)",102500,Waipapa,9.16015913,9.16015913,-35.20454221590518,173.91586390210333,1683366.794693983,6103889.4575051945,1683366.7947,6103889.4575
"POINT (1682176.1986 6098662.8743)",102600,Puketotara,55.26374103,55.26374103,-35.251763198276244,173.9033076886102,1682176.1985987925,6098662.87430465,1682176.1986,6098662.8743
"POINT (1657103.15145 6072747.7433)",102700,Waima Forest,236.99516982,236.99516982,-35.48716637803804,173.62952632452985,1657103.151462108,6072747.74330447,1657103.15145,6072747.7433
"POINT (1687602.1727 6103459.23355)",102800,Riverview,6.21892511,6.21892511,-35.20806019482645,173.96243364448245,1687602.1727094308,6103459.23355924,1687602.1727,6103459.23355
"POINT (1646329.22475 6062371.333)",102900,Waipoua Forest,277.80889901,277.80889901,-35.5812842091847,173.51134862247534,1646329.2247263761,6062371.332984882,1646329.22475,6062371.333
"POINT (1686540.0071 6101582.4648)",103000,Kerikeri Central,3.71173616,3.71173616,-35.225073094225344,173.95096303653332,1686540.007077781,6101582.464812304,1686540.0071,6101582.4648
"POINT (1687214.65995 6099974.48955)",103100,Kerikeri South,15.46843997,15.46843997,-35.239511863903786,173.95854621020686,1687214.6599606,6099974.489530889,1687214.65995,6099974.48955
"POINT (1678147.7249 6089443.7022)",103200,Ohaeawai-Waimate North,87.38799783,87.38799783,-35.335205554408574,173.85990866430237,1678147.724896397,6089443.7022135565,1678147.7249,6089443.7022
"POINT (1691121.26095 6095545.56415)",103300,Puketona-Waitangi,156.40927377,156.40927377,-35.27909397256144,174.00196797838169,1691121.2609571835,6095545.56416078,1691121.26095,6095545.56415
"POINT (1673606.67715 6080121.5461)",103400,Ngapuhi,175.3850347,175.3850347,-35.41959895432565,173.81078562943853,1673606.677168992,6080121.546114394,1673606.67715,6080121.5461
"POINT (1672426.86095 6081426.0369)",103500,Kaikohe,5.67503598,5.67503598,-35.407924278558816,173.7976750370292,1672426.8609389106,6081426.0369013455,1672426.86095,6081426.0369
"POINT (1689194.2756 6087204.52765)",103600,Pakaraka,72.35973496,72.35973496,-35.35446741273203,173.98169010967916,1689194.2755981756,6087204.52763684,1689194.2756,6087204.52765
"POINT (1695892.17355 6095438.20805)",103700,Haruru,1.52723246,1.52723246,-35.27961599076672,174.05443368785845,1695892.1735664885,6095438.208049949,1695892.17355,6095438.20805
"POINT (1702290.3433 6097927.8285)",103800,Russell,3.27930242,3.27930242,-35.256537680352196,174.12446628112724,1702290.3433175716,6097927.828486836,1702290.3433,6097927.8285
"POINT (1698818.89105 6094997.84125)",103900,Paihia,2.24210093,2.24210093,-35.28330130235483,174.08666393748572,1698818.8910480654,6094997.841263042,1698818.89105,6094997.84125
"POINT (1672999.1372 6065978.46355)",104000,Mataraua Forest,272.9270469,272.9270469,-35.547155295204526,173.8053651764212,1672999.1371895105,6065978.46356701,1672999.1372,6065978.46355
"POINT (1691057.09745 6075409.1499)",104100,Matawaia-Taumarere,410.65742458,410.65742458,-35.46063977514747,174.00350727984383,1691057.097437612,6075409.14992387,1691057.09745,6075409.1499
"POINT (1705670.4419 6094536.9271)",104200,Russell Peninsula,26.18756605,26.18756605,-35.286756297963464,174.16205317209472,1705670.441921659,6094536.927093266,1705670.4419,6094536.9271
"POINT (1700184.3713 6092159.4497)",104300,Opua (Far North District),5.6075292,5.6075292,-35.308754525453665,174.1020238725647,1700184.3712758434,6092159.449681067,1700184.3713,6092159.4497
"POINT (1712011.05945 6091292.24135)",104400,Russell Forest-Rawhiti,191.3699955,191.3699955,-35.31531693800487,174.2322101227775,1712011.059438121,6091292.241372995,1712011.05945,6091292.24135
"POINT (1692860.5542 6083721.56515)",104500,Moerewa,1.87566952,1.87566952,-35.38553342528702,174.02243225289766,1692860.5542160782,6083721.565173183,1692860.5542,6083721.56515
